n,width,beta,seed,solver,p_bar_mode,optimal_cost,expanded_states,generated_states,oracle_calls,stored_states,wall_seconds,timeout
10,2,2.0,44,astar,tight,775.8591273620436,11,17,17,18,0.0001291999979002867,False
10,3,0.0,42,full_dp,tight,1107.162561496514,44,91,91,45,0.003036699999938719,False
10,3,0.0,42,dijkstra,tight,1107.162561496514,45,91,91,45,0.0005543999977817293,False
10,3,0.0,42,lao,tight,1107.1625614965142,12,28,28,27,0.00047930000073392875,False
10,3,0.0,42,astar,loose,1107.1625614965142,45,91,91,45,0.0005520999984582886,False
10,3,0.0,42,astar,tight,1107.1625614965142,11,21,21,22,0.000152900000102818,False
10,3,0.0,43,full_dp,tight,1186.3584425006886,36,69,69,37,0.00036729999919771217,False
10,3,0.0,43,dijkstra,tight,1186.3584425006886,37,69,69,37,0.00043679999726009555,False
10,3,0.0,43,lao,tight,1186.3584425006886,15,34,34,29,0.000587500002438901,False
10,3,0.0,43,astar,loose,1186.3584425006889,37,69,69,37,0.0004422999991220422,False
10,3,0.0,43,astar,tight,1186.3584425006886,11,22,22,23,0.0001644000003580004,False
10,3,0.0,44,full_dp,tight,1339.0430385618292,49,101,101,50,0.00047819999963394366,False
10,3,0.0,44,dijkstra,tight,1339.0430385618292,50,101,101,50,0.0006012000012560748,False
10,3,0.0,44,lao,tight,1339.0430385618295,19,43,43,32,0.0007913000008556992,False
10,3,0.0,44,astar,loose,1339.0430385618292,50,101,101,50,0.0005936999987170566,False
10,3,0.0,44,astar,tight,1339.0430385618292,12,26,26,26,0.00017859999934444204,False
10,3,0.5,42,full_dp,tight,919.1105263031801,44,91,91,45,0.0004499000024225097,False
10,3,0.5,42,dijkstra,tight,919.1105263031801,45,91,91,45,0.0005409000004874542,False
10,3,0.5,42,lao,tight,919.1105263031802,14,33,33,31,0.0005763999979535583,False
10,3,0.5,42,astar,loose,919.1105263031802,45,91,91,45,0.0005400999980338383,False
10,3,0.5,42,astar,tight,919.1105263031801,11,23,23,24,0.0001736999984132126,False
10,3,0.5,43,full_dp,tight,954.6199725224551,36,69,69,37,0.00040699999954085797,False
10,3,0.5,43,dijkstra,tight,954.619972522455,37,69,69,37,0.00042209999810438603,False
10,3,0.5,43,lao,tight,954.6199725224552,12,28,28,27,0.00047819999963394366,False
10,3,0.5,43,astar,loose,954.6199725224552,37,69,69,37,0.0004258999979356304,False
10,3,0.5,43,astar,tight,954.6199725224551,11,22,22,23,0.0001570999993418809,False
10,3,0.5,44,full_dp,tight,1073.440378541454,49,101,101,50,0.0004884000009042211,False
10,3,0.5,44,dijkstra,tight,1073.4403785414543,50,101,101,50,0.0005807000015920494,False
10,3,0.5,44,lao,tight,1073.4403785414543,13,33,33,30,0.0005404000003181864,False
10,3,0.5,44,astar,loose,1073.4403785414543,50,101,101,50,0.0005892000008316245,False
10,3,0.5,44,astar,tight,1073.4403785414543,11,21,21,22,0.00015899999925750308,False
10,3,1.0,42,full_dp,tight,841.9314572294733,44,91,91,45,0.0004507999983616173,False
10,3,1.0,42,dijkstra,tight,841.9314572294732,45,91,91,45,0.0005364999997254927,False
10,3,1.0,42,lao,tight,841.9314572294734,12,32,32,31,0.0005077000023447908,False
10,3,1.0,42,astar,loose,841.9314572294734,45,91,91,45,0.0005366999976104125,False
10,3,1.0,42,astar,tight,841.9314572294734,11,25,25,26,0.00018930000078398734,False
10,3,1.0,43,full_dp,tight,869.3681536889376,36,69,69,37,0.00036609999733627774,False
10,3,1.0,43,dijkstra,tight,869.3681536889376,37,69,69,37,0.00042359999861218967,False
10,3,1.0,43,lao,tight,869.3681536889376,13,30,30,27,0.0005271000009088311,False
10,3,1.0,43,astar,loose,869.3681536889377,37,69,69,37,0.0005719000000681262,False
10,3,1.0,43,astar,tight,869.3681536889376,11,23,23,24,0.00017490000027464703,False
10,3,1.0,44,full_dp,tight,933.8724883642691,49,101,101,50,0.000496600001497427,False
10,3,1.0,44,dijkstra,tight,933.8724883642691,50,101,101,50,0.000585900001169648,False
10,3,1.0,44,lao,tight,933.8724883642692,10,25,25,26,0.00041430000055697747,False
10,3,1.0,44,astar,loose,933.8724883642692,50,101,101,50,0.0005879999989701901,False
10,3,1.0,44,astar,tight,933.8724883642691,11,23,23,24,0.0001626999983272981,False
10,3,2.0,42,full_dp,tight,783.7455008478526,44,91,91,45,0.0004503999989537988,False
10,3,2.0,42,dijkstra,tight,783.7455008478526,45,91,91,45,0.0004907999973511323,False
10,3,2.0,42,lao,tight,783.7455008478526,11,27,27,27,0.0003273999973316677,False
10,3,2.0,42,astar,loose,783.7455008478526,45,91,91,45,0.0003634000022429973,False
10,3,2.0,42,astar,tight,783.7455008478527,40,83,83,44,0.0003141999986837618,False
10,3,2.0,43,full_dp,tight,826.4681831693435,36,69,69,37,0.00027410000257077627,False
10,3,2.0,43,dijkstra,tight,826.4681831693435,37,69,69,37,0.0004459000010683667,False
10,3,2.0,43,lao,tight,826.4681831693435,13,30,30,28,0.0005143000016687438,False
10,3,2.0,43,astar,loose,826.4681831693437,37,69,69,37,0.00043819999700644985,False
10,3,2.0,43,astar,tight,826.4681831693435,11,22,22,23,0.00015970000094966963,False
10,3,2.0,44,full_dp,tight,813.5130726087277,49,101,101,50,0.0004747000020870473,False
10,3,2.0,44,dijkstra,tight,813.5130726087277,50,101,101,50,0.0005904999998165295,False
10,3,2.0,44,lao,tight,813.5130726087278,11,26,26,26,0.0004273000013199635,False
10,3,2.0,44,astar,loose,813.5130726087277,50,101,101,50,0.0006049000003258698,False
10,3,2.0,44,astar,tight,813.5130726087277,11,21,21,22,0.00014939999891794287,False
10,5,0.0,42,full_dp,tight,1107.162561496514,104,283,283,105,0.0012431999966793228,False
10,5,0.0,42,dijkstra,tight,1107.162561496514,105,283,283,105,0.0016166999994311482,False
10,5,0.0,42,lao,tight,1107.162561496514,16,48,48,42,0.0007522999985667411,False
10,5,0.0,42,astar,loose,1107.1625614965144,105,283,283,105,0.0015026000000943895,False
10,5,0.0,42,astar,tight,1107.1625614965142,11,32,32,33,0.00021749999723397195,False
10,5,0.0,43,full_dp,tight,1186.3584425006884,104,285,285,105,0.0012234999994689133,False
10,5,0.0,43,dijkstra,tight,1186.3584425006884,105,285,285,105,0.00145419999898877,False
10,5,0.0,43,lao,tight,1186.3584425006886,18,57,57,49,0.0008586999974795617,False
10,5,0.0,43,astar,loose,1186.3584425006886,105,285,285,105,0.0016577999995206483,False
10,5,0.0,43,astar,tight,1186.3584425006884,11,33,33,34,0.00023220000002766028,False
10,5,0.0,44,full_dp,tight,1339.0430385618292,157,479,479,158,0.001896000001579523,False
10,5,0.0,44,dijkstra,tight,1339.043038561829,158,479,479,158,0.0026424999996379483,False
10,5,0.0,44,lao,tight,1339.0430385618295,10,35,35,36,0.00047649999760324135,False
10,5,0.0,44,astar,loose,1339.0430385618297,158,479,479,158,0.0023543000024801586,False
10,5,0.0,44,astar,tight,1339.0430385618295,14,39,39,37,0.00024680000205989927,False
10,5,0.5,42,full_dp,tight,922.9020608950649,104,283,283,105,0.0012120999999751803,False
10,5,0.5,42,dijkstra,tight,922.9020608950649,105,283,283,105,0.001668299999437295,False
10,5,0.5,42,lao,tight,922.902060895065,11,36,36,36,0.0005105000018374994,False
10,5,0.5,42,astar,loose,922.902060895065,105,283,283,105,0.0015026000000943895,False
10,5,0.5,42,astar,tight,922.902060895065,11,32,32,33,0.0002133999987563584,False
10,5,0.5,43,full_dp,tight,1013.7936231740409,104,285,285,105,0.0012093999976059422,False
10,5,0.5,43,dijkstra,tight,1013.7936231740409,105,285,285,105,0.0016271999993477948,False
10,5,0.5,43,lao,tight,1013.793623174041,16,46,46,42,0.0007250000016938429,False
10,5,0.5,43,astar,loose,1013.7936231740409,105,285,285,105,0.0015033999989100266,False
10,5,0.5,43,astar,tight,1013.7936231740409,11,35,35,36,0.0002328000009583775,False
10,5,0.5,44,full_dp,tight,1146.3347047041896,157,479,479,158,0.0018622000025061425,False
10,5,0.5,44,dijkstra,tight,1146.3347047041893,158,479,479,158,0.002645299999130657,False
10,5,0.5,44,lao,tight,1146.3347047041896,12,35,35,34,0.0005276999982015695,False
10,5,0.5,44,astar,loose,1146.3347047041898,158,479,479,158,0.0023141999990912154,False
10,5,0.5,44,astar,tight,1146.3347047041896,12,35,35,35,0.0002334000018890947,False
10,5,1.0,42,full_dp,tight,875.0209701337833,104,283,283,105,0.0012152000017522369,False
10,5,1.0,42,dijkstra,tight,875.0209701337834,105,283,283,105,0.0016199999990931246,False
10,5,1.0,42,lao,tight,875.0209701337834,10,34,34,35,0.00047819999963394366,False
10,5,1.0,42,astar,loose,875.0209701337835,105,283,283,105,0.0015203000002657063,False
10,5,1.0,42,astar,tight,875.0209701337835,14,41,41,38,0.00026679999791667797,False
10,5,1.0,43,full_dp,tight,965.3933098187814,104,285,285,105,0.001212300001498079,False
10,5,1.0,43,dijkstra,tight,965.3933098187814,105,285,285,105,0.0016338000023097266,False
10,5,1.0,43,lao,tight,965.3933098187816,15,54,54,47,0.0007342999997490551,False
10,5,1.0,43,astar,loose,965.3933098187815,105,285,285,105,0.0015186999989964534,False
10,5,1.0,43,astar,tight,965.3933098187815,11,32,32,33,0.0002162000018870458,False
10,5,1.0,44,full_dp,tight,1072.7066654087664,157,479,479,158,0.00149049999890849,False
10,5,1.0,44,dijkstra,tight,1072.7066654087662,158,479,479,158,0.002153199999156641,False
10,5,1.0,44,lao,tight,1072.7066654087664,19,66,66,59,0.0009753000013006385,False
10,5,1.0,44,astar,loose,1072.7066654087666,158,479,479,158,0.002363399999012472,False
10,5,1.0,44,astar,tight,1072.7066654087664,11,38,38,39,0.00024359999952139333,False
10,5,2.0,42,full_dp,tight,853.2955474310382,104,283,283,105,0.0012166000014985912,False
10,5,2.0,42,dijkstra,tight,853.2955474310382,105,283,283,105,0.001627800000278512,False
10,5,2.0,42,lao,tight,853.2955474310384,10,35,35,36,0.00048210000022663735,False
10,5,2.0,42,astar,loose,853.2955474310384,105,283,283,105,0.0015196999993349891,False
10,5,2.0,42,astar,tight,853.2955474310384,11,33,33,34,0.00022990000070421956,False
10,5,2.0,43,full_dp,tight,943.198133019974,104,285,285,105,0.0012165000007371418,False
10,5,2.0,43,dijkstra,tight,943.198133019974,105,285,285,105,0.0014197999989846721,False
10,5,2.0,43,lao,tight,943.1981330199741,11,37,37,37,0.00044440000056056306,False
10,5,2.0,43,astar,loose,943.198133019974,105,285,285,105,0.0017229999975825194,False
10,5,2.0,43,astar,tight,943.198133019974,11,30,30,31,0.00023499999952036887,False
10,5,2.0,44,full_dp,tight,1026.5458001178094,157,479,479,158,0.0021254000021144748,False
10,5,2.0,44,dijkstra,tight,1026.5458001178094,158,479,479,158,0.002993500002048677,False
10,5,2.0,44,lao,tight,1026.5458001178097,10,35,35,36,0.0005650999992212746,False
10,5,2.0,44,astar,loose,1026.5458001178097,158,479,479,158,0.0026871000009123236,False
10,5,2.0,44,astar,tight,1026.5458001178097,11,35,35,36,0.00026789999901666306,False
15,2,0.0,42,full_dp,tight,1910.0183054737358,34,53,53,35,0.0003969999997934792,False
15,2,0.0,42,dijkstra,tight,1910.0183054737356,35,53,53,35,0.00043649999861372635,False
15,2,0.0,42,lao,tight,1910.0183054737358,18,33,33,31,0.0009011000001919456,False
15,2,0.0,42,astar,loose,1910.0183054737358,35,53,53,35,0.000495000000228174,False
15,2,0.0,42,astar,tight,1910.0183054737358,16,25,25,26,0.0002549999990151264,False
15,2,0.0,43,full_dp,tight,1882.9117951242067,34,53,53,35,0.0004085000000486616,False
15,2,0.0,43,dijkstra,tight,1882.9117951242067,35,53,53,35,0.000465299999632407,False
15,2,0.0,43,lao,tight,1882.9117951242067,19,31,31,28,0.0009573999996064231,False
15,2,0.0,43,astar,loose,1882.9117951242067,35,53,53,35,0.0005135999999765772,False
15,2,0.0,43,astar,tight,1882.911795124207,16,24,24,25,0.00025459999960730784,False
15,2,0.0,44,full_dp,tight,2051.146369406904,30,45,45,31,0.00038610000046901405,False
15,2,0.0,44,dijkstra,tight,2051.1463694069043,31,45,45,31,0.0003814999981841538,False
15,2,0.0,44,lao,tight,2051.1463694069043,17,28,28,27,0.0008515999979863409,False
15,2,0.0,44,astar,loose,2051.1463694069043,31,45,45,31,0.00044770000022253953,False
15,2,0.0,44,astar,tight,2051.1463694069043,16,23,23,24,0.0002443000012135599,False
15,2,0.5,42,full_dp,tight,1441.1264149726908,34,53,53,35,0.00042799999937415123,False
15,2,0.5,42,dijkstra,tight,1441.126414972691,35,53,53,35,0.0004484000019147061,False
15,2,0.5,42,lao,tight,1441.126414972691,15,27,27,28,0.0007760000007692724,False
15,2,0.5,42,astar,loose,1441.1264149726912,35,53,53,35,0.0005034999994677491,False
15,2,0.5,42,astar,tight,1441.1264149726912,17,25,25,25,0.00026449999859323725,False
15,2,0.5,43,full_dp,tight,1439.8045592509438,34,53,53,35,0.00042240000038873404,False
15,2,0.5,43,dijkstra,tight,1439.8045592509436,35,53,53,35,0.00044890000208397396,False
15,2,0.5,43,lao,tight,1439.8045592509438,19,34,34,31,0.0010077000006276648,False
15,2,0.5,43,astar,loose,1439.8045592509438,35,53,53,35,0.0006213999986357521,False
15,2,0.5,43,astar,tight,1439.804559250944,20,34,34,31,0.0003262999998696614,False
15,2,0.5,44,full_dp,tight,1505.495229687633,30,45,45,31,0.00036439999894355424,False
15,2,0.5,44,dijkstra,tight,1505.4952296876327,31,45,45,31,0.00040719999742577784,False
15,2,0.5,44,lao,tight,1505.495229687633,15,26,26,27,0.0007342000026255846,False
15,2,0.5,44,astar,loose,1505.4952296876327,31,45,45,31,0.00042190000021946616,False
15,2,0.5,44,astar,tight,1505.495229687633,27,40,40,30,0.00037460000021383166,False
15,2,1.0,42,full_dp,tight,1229.546184826275,34,53,53,35,0.0004051000032632146,False
15,2,1.0,42,dijkstra,tight,1229.546184826275,35,53,53,35,0.0004683999977714848,False
15,2,1.0,42,lao,tight,1229.5461848262753,16,28,28,28,0.0008335999991686549,False
15,2,1.0,42,astar,loose,1229.5461848262753,35,53,53,35,0.00047869999980321154,False
15,2,1.0,42,astar,tight,1229.5461848262753,16,25,25,26,0.0002521999995224178,False
15,2,1.0,43,full_dp,tight,1243.2984958807529,34,53,53,35,0.0003977999986091163,False
15,2,1.0,43,dijkstra,tight,1243.2984958807533,35,53,53,35,0.00027659999977913685,False
15,2,1.0,43,lao,tight,1243.2984958807529,15,28,28,29,0.00045220000174595043,False
15,2,1.0,43,astar,loose,1243.2984958807533,35,53,53,35,0.0003890999978466425,False
15,2,1.0,43,astar,tight,1243.2984958807533,33,51,51,35,0.0004175000030954834,False
15,2,1.0,44,full_dp,tight,1262.5921404739947,30,45,45,31,0.0003136000013910234,False
15,2,1.0,44,dijkstra,tight,1262.5921404739947,31,45,45,31,0.00035879999995813705,False
15,2,1.0,44,lao,tight,1262.5921404739947,16,26,26,26,0.0006759999996575061,False
15,2,1.0,44,astar,loose,1262.5921404739947,31,45,45,31,0.00036890000046696514,False
15,2,1.0,44,astar,tight,1262.592140473995,25,38,38,30,0.00031179999859887175,False
15,2,2.0,42,full_dp,tight,1076.2705831987403,34,53,53,35,0.00036950000139768235,False
15,2,2.0,42,dijkstra,tight,1076.27058319874,35,53,53,35,0.0003968999990320299,False
15,2,2.0,42,lao,tight,1076.2705831987403,16,26,26,26,0.0006988999994064216,False
15,2,2.0,42,astar,loose,1076.27058319874,35,53,53,35,0.00042520000351942144,False
15,2,2.0,42,astar,tight,1076.27058319874,16,25,25,26,0.00023879999935161322,False
15,2,2.0,43,full_dp,tight,1104.3009175559282,34,53,53,35,0.000362000002496643,False
15,2,2.0,43,dijkstra,tight,1104.3009175559284,35,53,53,35,0.0003988999997091014,False
15,2,2.0,43,lao,tight,1104.3009175559284,18,31,31,29,0.0007986999989952892,False
15,2,2.0,43,astar,loose,1104.3009175559287,35,53,53,35,0.0004391000002215151,False
15,2,2.0,43,astar,tight,1104.3009175559284,16,25,25,26,0.00022879999960423447,False
15,2,2.0,44,full_dp,tight,1089.8603513009946,30,45,45,31,0.00032619999910821207,False
15,2,2.0,44,dijkstra,tight,1089.8603513009946,31,45,45,31,0.0003429000025789719,False
15,2,2.0,44,lao,tight,1089.8603513009948,18,29,29,27,0.0007886999992479105,False
15,2,2.0,44,astar,loose,1089.8603513009948,31,45,45,31,0.0003705000017362181,False
15,2,2.0,44,astar,tight,1089.8603513009946,16,25,25,26,0.00024510000002919696,False
15,3,0.0,42,full_dp,tight,1910.0183054737356,61,120,120,62,0.0007598999982292298,False
15,3,0.0,42,dijkstra,tight,1910.0183054737356,62,120,120,62,0.0008938999999372754,False
15,3,0.0,42,lao,tight,1910.0183054737358,18,40,40,38,0.0008835000007820781,False
15,3,0.0,42,astar,loose,1910.0183054737358,62,120,120,62,0.000690799999574665,False
15,3,0.0,42,astar,tight,1910.0183054737356,17,33,33,33,0.0001987000032386277,False
15,3,0.0,43,full_dp,tight,1882.9117951242065,76,159,159,77,0.0006247999990591779,False
15,3,0.0,43,dijkstra,tight,1882.9117951242067,77,159,159,77,0.000745400000596419,False
15,3,0.0,43,lao,tight,1882.9117951242067,20,49,49,44,0.0006977000011829659,False
15,3,0.0,43,astar,loose,1882.911795124207,77,159,159,77,0.0007468000003427733,False
15,3,0.0,43,astar,tight,1882.911795124207,16,27,27,28,0.00016400000095018186,False
15,3,0.0,44,full_dp,tight,2051.146369406904,68,138,138,69,0.0005611000015051104,False
15,3,0.0,44,dijkstra,tight,2051.146369406904,69,138,138,69,0.0006632000004174188,False
15,3,0.0,44,lao,tight,2051.146369406904,19,42,42,38,0.0006424999992304947,False
15,3,0.0,44,astar,loose,2051.1463694069043,69,138,138,69,0.0006691999988106545,False
15,3,0.0,44,astar,tight,2051.1463694069043,16,31,31,32,0.00018529999942984432,False
15,3,0.5,42,full_dp,tight,1340.7047739449256,61,120,120,62,0.0004853999998886138,False
15,3,0.5,42,dijkstra,tight,1340.7047739449254,62,120,120,62,0.0005980999994790182,False
15,3,0.5,42,lao,tight,1340.7047739449256,21,45,45,39,0.0006804000004194677,False
15,3,0.5,42,astar,loose,1340.7047739449256,62,120,120,62,0.0006016999977873638,False
15,3,0.5,42,astar,tight,1340.7047739449256,17,34,34,34,0.00020039999799337238,False
15,3,0.5,43,full_dp,tight,1443.502723592595,76,159,159,77,0.0006185999991430435,False
15,3,0.5,43,dijkstra,tight,1443.5027235925954,77,159,159,77,0.000753400003304705,False
15,3,0.5,43,lao,tight,1443.5027235925952,17,40,40,39,0.0005727999996452127,False
15,3,0.5,43,astar,loose,1443.5027235925959,77,159,159,77,0.0007560000012745149,False
15,3,0.5,43,astar,tight,1443.5027235925957,55,119,119,74,0.0006346000009216368,False
15,3,0.5,44,full_dp,tight,1472.5097945580376,68,138,138,69,0.000556999999389518,False
15,3,0.5,44,dijkstra,tight,1472.5097945580376,69,138,138,69,0.0006675999975414015,False
15,3,0.5,44,lao,tight,1472.5097945580378,21,51,51,46,0.0007365999990724958,False
15,3,0.5,44,astar,loose,1472.509794558038,69,138,138,69,0.0006640999999945052,False
15,3,0.5,44,astar,tight,1472.5097945580378,16,31,31,32,0.0001827000014600344,False
15,3,1.0,42,full_dp,tight,1153.4251997520898,61,120,120,62,0.0006437000010919292,False
15,3,1.0,42,dijkstra,tight,1153.4251997520898,62,120,120,62,0.0005902999982936308,False
15,3,1.0,42,lao,tight,1153.4251997520898,16,35,35,35,0.0005278999997244682,False
15,3,1.0,42,astar,loose,1153.42519975209,62,120,120,62,0.0005893999987165444,False
15,3,1.0,42,astar,tight,1153.42519975209,16,29,29,30,0.00018519999866839498,False
15,3,1.0,43,full_dp,tight,1275.1994935227037,76,159,159,77,0.0006195000023581088,False
15,3,1.0,43,dijkstra,tight,1275.199493522704,77,159,159,77,0.0007613000016135629,False
15,3,1.0,43,lao,tight,1275.199493522704,21,49,49,44,0.0007359000010183081,False
15,3,1.0,43,astar,loose,1275.1994935227044,77,159,159,77,0.0007516000005125534,False
15,3,1.0,43,astar,tight,1275.1994935227042,19,43,43,40,0.00024619999749120325,False
15,3,1.0,44,full_dp,tight,1251.076460608694,68,138,138,69,0.0005592000015894882,False
15,3,1.0,44,dijkstra,tight,1251.0764606086937,69,138,138,69,0.0006704000006720889,False
15,3,1.0,44,lao,tight,1251.076460608694,17,36,36,35,0.0005485000001499429,False
15,3,1.0,44,astar,loose,1251.076460608694,69,138,138,69,0.0006762000011804048,False
15,3,1.0,44,astar,tight,1251.076460608694,16,35,35,36,0.00020320000112405978,False
15,3,2.0,42,full_dp,tight,1067.0499150102114,61,120,120,62,0.0004842000016651582,False
15,3,2.0,42,dijkstra,tight,1067.0499150102116,62,120,120,62,0.0006775000001653098,False
15,3,2.0,42,lao,tight,1067.0499150102114,16,33,33,33,0.0005144000024301931,False
15,3,2.0,42,astar,loose,1067.0499150102116,62,120,120,62,0.0005811999981233384,False
15,3,2.0,42,astar,tight,1067.0499150102116,16,29,29,30,0.0001733999997668434,False
15,3,2.0,43,full_dp,tight,1165.0142026435547,76,159,159,77,0.0007729999997536652,False
15,3,2.0,43,dijkstra,tight,1165.0142026435547,77,159,159,77,0.0007638999995833728,False
15,3,2.0,43,lao,tight,1165.0142026435547,18,41,41,38,0.0005884000020159874,False
15,3,2.0,43,astar,loose,1165.0142026435549,77,159,159,77,0.0007521000006818213,False
15,3,2.0,43,astar,tight,1165.0142026435547,27,54,54,45,0.0002854999984265305,False
15,3,2.0,44,full_dp,tight,1107.842191500184,68,138,138,69,0.0005596999981207773,False
15,3,2.0,44,dijkstra,tight,1107.842191500184,69,138,138,69,0.0006661999977950472,False
15,3,2.0,44,lao,tight,1107.8421915001843,18,42,42,40,0.0005990999998175539,False
15,3,2.0,44,astar,loose,1107.842191500184,69,138,138,69,0.0006794000000809319,False
15,3,2.0,44,astar,tight,1107.842191500184,16,35,35,36,0.00020199999926262535,False
15,5,0.0,42,full_dp,tight,1910.0183054737356,234,688,688,235,0.0025940000014088582,False
15,5,0.0,42,dijkstra,tight,1910.0183054737356,235,688,688,235,0.0033196000003954396,False
15,5,0.0,42,lao,tight,1910.0183054737358,25,88,88,77,0.0010742000013124198,False
15,5,0.0,42,astar,loose,1910.0183054737358,235,688,688,235,0.0029316000000108033,False
15,5,0.0,42,astar,tight,1910.0183054737358,29,79,79,66,0.0004109999972570222,False
