n,width,beta,seed,p_bar_mode,rho_s0,rho_mean,r_prune,r_dp
10,3,0.0,42,tight,0.0,3.79140501432677e-18,4.090909090909091,4.090909090909091
10,3,0.0,43,loose,0.49425065940840074,0.4617476811535097,1.0,1.0
10,3,0.0,43,tight,0.0,5.000520311871852e-18,3.3636363636363638,3.3636363636363638
10,3,0.0,44,loose,0.5519188086408207,0.521978124037867,1.0,1.0
10,3,0.0,44,tight,0.0,0.0,4.166666666666667,4.166666666666667
10,3,0.5,42,loose,0.34719494246975635,0.27626477664421256,1.0,1.0
10,3,0.5,42,tight,0.0,0.0,4.090909090909091,4.090909090909091
10,3,0.5,43,loose,0.3714776379394404,0.2630041948571027,1.0,1.0
10,3,0.5,43,tight,0.0,0.0,3.3636363636363638,3.3636363636363638
10,3,0.5,44,loose,0.44104953382203216,0.37165310661617834,1.0,1.0
10,3,0.5,44,tight,0.0,0.0,4.545454545454546,4.545454545454546
10,3,1.0,42,loose,0.28735291353240583,0.1819886447553656,1.0,1.0
10,3,1.0,42,tight,0.0,2.2153179588536824e-17,4.090909090909091,4.090909090909091
10,3,1.0,43,loose,0.3098435945070496,0.1456164681937907,1.0,1.0
10,3,1.0,43,tight,0.0,0.0,3.3636363636363638,3.3636363636363638
10,3,1.0,44,loose,0.3575139995279932,0.25885001843537736,1.0,1.0
10,3,1.0,44,tight,0.0,0.0,4.545454545454546,4.545454545454546
10,3,2.0,42,loose,0.23444536606472058,0.10427096070046353,1.0,1.0
10,3,2.0,42,tight,0.0,0.0,1.125,1.125
10,3,2.0,43,loose,0.27401923967705866,0.07051478557565735,1.0,1.0
10,3,2.0,43,tight,0.0,4.680629567917079e-17,3.3636363636363638,3.3636363636363638
10,3,2.0,44,loose,0.26245807203078625,0.13666199723920366,1.0,1.0
10,3,2.0,44,tight,0.0,0.0,4.545454545454546,4.545454545454546
10,5,0.0,42,loose,0.45807416104370396,0.46179363225447734,1.0,1.0
10,5,0.0,42,tight,0.0,0.0,9.545454545454545,9.545454545454545
10,5,0.0,43,loose,0.4942506594084006,0.46818187912224823,1.0,1.0
10,5,0.0,43,tight,0.0,1.2227440560205866e-18,9.545454545454545,9.545454545454545
10,5,0.0,44,loose,0.5519188086408207,0.5418850185142998,1.0,1.0
10,5,0.0,44,tight,0.0,0.0,11.285714285714286,11.285714285714286
10,5,0.5,42,loose,0.3498768445504417,0.2640740883095253,1.0,1.0
10,5,0.5,42,tight,0.0,0.0,9.545454545454545,9.545454545454545
10,5,0.5,43,loose,0.4081635687138306,0.294233557700851,1.0,1.0
10,5,0.5,43,tight,0.0,1.934023642681784e-18,9.545454545454545,9.545454545454545
10,5,0.5,44,loose,0.47659265872542056,0.40592640816071823,1.0,1.0
10,5,0.5,44,tight,0.0,8.723572009357943e-19,13.166666666666666,13.166666666666666
10,5,1.0,42,loose,0.3143021476293704,0.18803632117493582,1.0,1.0
10,5,1.0,42,tight,0.0,0.0,7.5,7.5
10,5,1.0,43,loose,0.3784916531971525,0.22201715950346051,1.0,1.0
10,5,1.0,43,tight,0.0,0.0,9.545454545454545,9.545454545454545
10,5,1.0,44,loose,0.4406672212003423,0.3284577634400289,1.0,1.0
10,5,1.0,44,tight,0.0,1.151069469356033e-18,14.363636363636363,14.363636363636363
10,5,2.0,42,loose,0.2968438639972033,0.14809377129994752,1.0,1.0
10,5,2.0,42,tight,0.0,1.1163764421525e-18,9.545454545454545,9.545454545454545
10,5,2.0,43,loose,0.36386642530886576,0.18440455643668957,1.0,1.0
10,5,2.0,43,tight,0.0,0.0,9.545454545454545,9.545454545454545
10,5,2.0,44,loose,0.41551560589781555,0.2688302596774271,1.0,1.0
10,5,2.0,44,tight,0.0,4.2205366471088245e-18,14.363636363636363,14.363636363636363
15,2,0.0,42,loose,0.5288003275043085,0.59728250596819,1.0,1.0
15,2,0.0,42,tight,0.0,8.186762813019247e-18,2.1875,2.1875
15,2,0.0,43,loose,0.5220169089542342,0.5375598932028509,1.0,1.0
15,2,0.0,43,tight,0.0,3.6549729655667664e-18,2.1875,2.1875
15,2,0.0,44,loose,0.5612209769991997,0.5620334883143064,1.0,1.0
15,2,0.0,44,tight,0.0,0.0,1.9375,1.9375
15,2,0.5,42,loose,0.37548851325644816,0.42206801450970594,1.0,1.0
15,2,0.5,42,tight,0.0,0.0,2.0588235294117645,2.0588235294117645
15,2,0.5,43,loose,0.3749151617715229,0.35116869857833366,1.0,1.0
15,2,0.5,43,tight,0.0,6.006503191548013e-18,1.75,1.75
15,2,0.5,44,loose,0.4021900685884364,0.3845462453315278,1.0,1.0
15,2,0.5,44,tight,1.510291570239041e-16,1.039274311129154e-17,1.1481481481481481,1.1481481481481481
15,2,1.0,42,loose,0.26802261589940785,0.2765879319480529,1.0,1.0
15,2,1.0,42,tight,0.0,0.0,2.1875,2.1875
15,2,1.0,43,loose,0.27611912748077455,0.21290232549539714,1.0,1.0
15,2,1.0,43,tight,0.0,0.0,1.0606060606060606,1.0606060606060606
15,2,1.0,44,loose,0.2871807362414537,0.24608518242924957,1.0,1.0
15,2,1.0,44,tight,0.0,4.733842272834597e-18,1.24,1.24
15,2,2.0,42,loose,0.1637790588634817,0.11059417229122799,1.0,1.0
15,2,2.0,42,tight,0.0,0.0,2.1875,2.1875
15,2,2.0,43,loose,0.18500475215405335,0.07836625858787077,1.0,1.0
15,2,2.0,43,tight,0.0,0.0,2.1875,2.1875
15,2,2.0,44,loose,0.17420612748629066,0.09763265155831441,1.0,1.0
15,2,2.0,44,tight,0.0,8.868887579774941e-18,1.9375,1.9375
15,3,0.0,42,loose,0.5288003275043084,0.5843741510979665,1.0,1.0
15,3,0.0,42,tight,0.0,0.0,3.6470588235294117,3.6470588235294117
15,3,0.0,43,loose,0.5220169089542341,0.5456362024394248,1.0,1.0
15,3,0.0,43,tight,0.0,3.2932471444642544e-18,4.8125,4.8125
15,3,0.0,44,loose,0.5612209769991997,0.5588357406325742,1.0,1.0
15,3,0.0,44,tight,0.0,0.0,4.3125,4.3125
15,3,0.5,42,loose,0.32871127373417497,0.3194286876357653,1.0,1.0
15,3,0.5,42,tight,0.0,0.0,3.6470588235294117,3.6470588235294117
15,3,0.5,43,loose,0.3765165903116022,0.32717949484431413,1.0,1.0
15,3,0.5,43,tight,0.0,3.7357760828988025e-18,1.4,1.4
15,3,0.5,44,loose,0.3887986325618105,0.32187710315510953,1.0,1.0
15,3,0.5,44,tight,0.0,0.0,4.3125,4.3125
15,3,1.0,42,loose,0.21971533117757397,0.1442241507629127,1.0,1.0
15,3,1.0,42,tight,0.0,2.3148184433087376e-18,3.875,3.875
15,3,1.0,43,loose,0.294228076021443,0.18817836671057256,1.0,1.0
15,3,1.0,43,tight,0.0,0.0,4.052631578947368,4.052631578947368
15,3,1.0,44,loose,0.2806195078100044,0.1707945006976057,1.0,1.0
15,3,1.0,44,tight,0.0,1.7947144769227744e-18,4.3125,4.3125
15,3,2.0,42,loose,0.15655304654479335,0.032836860047717825,1.0,1.0
15,3,2.0,42,tight,0.0,1.899043225926725e-18,3.875,3.875
15,3,2.0,43,loose,0.22747722906914453,0.07777269993935644,1.0,1.0
15,3,2.0,43,tight,0.0,0.0,2.8518518518518516,2.8518518518518516
15,3,2.0,44,loose,0.18760992593966352,0.05967271539206296,1.0,1.0
15,3,2.0,44,tight,0.0,0.0,4.3125,4.3125
15,5,0.0,42,loose,0.5288003275043084,0.5800758874687235,1.0,1.0
15,5,0.0,42,tight,0.0,5.477006270199197e-19,8.10344827586207,8.10344827586207
15,5,0.0,43,loose,0.5220169089542341,0.5355536437056787,1.0,1.0
15,5,0.0,43,tight,0.0,0.0,14.8125,14.8125
15,5,0.0,44,loose,0.5612209769991997,0.559626052370109,1.0,1.0
15,5,0.0,44,tight,0.0,4.898311764788844e-19,17.6875,17.6875
15,5,0.5,42,loose,0.33567874748838916,0.28388012580475325,1.0,1.0
15,5,0.5,42,tight,0.0,5.097704458577037e-19,13.823529411764707,13.823529411764707
15,5,0.5,43,loose,0.37955471120036605,0.30703465380935585,1.0,1.0
15,5,0.5,43,tight,0.0,0.0,4.086206896551724,4.086206896551724
15,5,0.5,44,loose,0.4198610516113057,0.3079086490013774,1.0,1.0
15,5,0.5,44,tight,0.0,0.0,16.647058823529413,16.647058823529413
15,5,1.0,42,loose,0.26263982283182463,0.14344228961205213,1.0,1.0
15,5,1.0,42,tight,0.0,0.0,13.823529411764707,13.823529411764707
15,5,1.0,43,loose,0.31808026791660693,0.18030055776637186,1.0,1.0
15,5,1.0,43,tight,0.0,0.0,1.0394736842105263,1.0394736842105263
15,5,1.0,44,loose,0.36161661887674634,0.1949544853703857,1.0,1.0
15,5,1.0,44,tight,0.0,9.416064250362168e-19,8.323529411764707,8.323529411764707
15,5,2.0,42,loose,0.22797091560125696,0.07485053602515164,1.0,1.0
15,5,2.0,42,tight,0.0,0.0,1.8503937007874016,1.8503937007874016
15,5,2.0,43,loose,0.28300092048430536,0.09777511991950494,1.0,1.0
15,5,2.0,43,tight,0.0,6.586718015800452e-19,13.941176470588236,13.941176470588236
15,5,2.0,44,loose,0.32551479147145956,0.12425869245341142,1.0,1.0
15,5,2.0,44,tight,0.0,0.0,17.6875,17.6875
20,2,0.0,42,loose,0.5482575020339936,0.598666108163617,1.0,1.0
20,2,0.0,42,tight,0.0,0.0,1.6923076923076923,1.6923076923076923
20,2,0.0,43,loose,0.5287058576605467,0.5476323706196184,1.0,1.0
20,2,0.0,43,tight,0.0,3.895542448123654e-18,1.3235294117647058,1.3235294117647058
20,2,0.0,44,loose,0.5471249475005893,0.533008833163482,1.0,1.0
20,2,0.0,44,tight,0.0,1.7267536017827827e-17,1.92,1.92
20,2,0.5,42,loose,0.382201967842308,0.4084073546391431,1.0,1.0
20,2,0.5,42,tight,0.0,4.003162183942849e-18,1.6296296296296295,1.6296296296296295
20,2,0.5,43,loose,0.38637209608099904,0.38217722405165266,1.0,1.0
20,2,0.5,43,tight,0.0,3.573722902372976e-18,2.0454545454545454,2.0454545454545454
20,2,0.5,44,loose,0.3845032049149791,0.35869858630993307,1.0,1.0
20,2,0.5,44,tight,1.1662314043500922e-16,8.379506721297242e-18,2.2857142857142856,2.2857142857142856
20,2,1.0,42,loose,0.26201763896922137,0.25384602949672913,1.0,1.0
20,2,1.0,42,tight,0.0,0.0,1.9130434782608696,1.9130434782608696
20,2,1.0,43,loose,0.28251056320208295,0.2504170941955131,1.0,1.0
20,2,1.0,43,tight,0.0,0.0,1.3235294117647058,1.3235294117647058
20,2,1.0,44,loose,0.26669553519507105,0.22622458111037183,1.0,1.0
20,2,1.0,44,tight,0.0,0.0,2.0869565217391304,2.0869565217391304
20,2,2.0,42,loose,0.14445349089522785,0.09117265051571813,1.0,1.0
20,2,2.0,42,tight,0.0,0.0,1.8333333333333333,1.8333333333333333
20,2,2.0,43,loose,0.17311531559453652,0.10066850987255066,1.0,1.0
20,2,2.0,43,tight,0.0,8.225393702437463e-18,1.5,1.5
20,2,2.0,44,loose,0.15023173253398364,0.08613770104054541,1.0,1.0
20,2,2.0,44,tight,0.0,0.0,1.411764705882353,1.411764705882353
20,3,0.0,42,loose,0.5482575020339935,0.5956961977113386,1.0,1.0
20,3,0.0,42,tight,0.0,0.0,3.8333333333333335,3.8333333333333335
20,3,0.0,43,loose,0.5287058576605467,0.5501859710328298,1.0,1.0
20,3,0.0,43,tight,0.0,1.1797360614636912e-18,1.3150684931506849,1.3150684931506849
20,3,0.0,44,loose,0.5471249475005892,0.5319081805962477,1.0,1.0
20,3,0.0,44,tight,0.0,5.8826816548358105e-18,4.666666666666667,4.666666666666667
20,3,0.5,42,loose,0.3436657995717338,0.33875153108253986,1.0,1.0
20,3,0.5,42,tight,0.0,1.5798237738026547e-18,4.380952380952381,4.380952380952381
20,3,0.5,43,loose,0.3463981192001939,0.3127223724115859,1.0,1.0
20,3,0.5,43,tight,0.0,0.0,3.0,3.0
20,3,0.5,44,loose,0.37024929161899517,0.29629284907989994,1.0,1.0
20,3,0.5,44,tight,0.0,0.0,4.260869565217392,4.260869565217392
20,3,1.0,42,loose,0.22756735971243972,0.17610204180105904,1.0,1.0
20,3,1.0,42,tight,0.0,8.389434044504438e-18,4.380952380952381,4.380952380952381
20,3,1.0,43,loose,0.2488012557774731,0.16595013567969238,1.0,1.0
20,3,1.0,43,tight,0.0,0.0,2.4,2.4
20,3,1.0,44,loose,0.2594914908683234,0.1539251849329713,1.0,1.0
20,3,1.0,44,tight,0.0,0.0,4.666666666666667,4.666666666666667
20,3,2.0,42,loose,0.1449806987838696,0.056190516547160875,1.0,1.0
20,3,2.0,42,tight,0.0,0.0,4.380952380952381,4.380952380952381
20,3,2.0,43,loose,0.18065925849382494,0.05562752399064488,1.0,1.0
20,3,2.0,43,tight,0.0,0.0,1.92,1.92
20,3,2.0,44,loose,0.16147229857243894,0.050745370828596835,1.0,1.0
20,3,2.0,44,tight,0.0,1.577193488155271e-18,3.3793103448275863,3.3793103448275863
20,5,0.0,42,loose,0.5482575020339934,0.5882123469349828,1.0,1.0
20,5,0.0,42,tight,0.0,0.0,15.238095238095237,15.238095238095237
20,5,0.0,43,loose,0.5287058576605465,0.5378507669596749,1.0,1.0
20,5,0.0,43,tight,0.0,0.0,21.095238095238095,21.095238095238095
20,5,0.0,44,loose,0.5471249475005892,0.5366547043057236,1.0,1.0
20,5,0.0,44,tight,0.0,0.0,17.523809523809526,17.523809523809526
20,5,0.5,42,loose,0.3282917289552729,0.2875652662941895,1.0,1.0
20,5,0.5,42,tight,0.0,1.090802551433695e-18,14.545454545454545,14.545454545454545
20,5,0.5,43,loose,0.35807655088840645,0.288341714885517,1.0,1.0
20,5,0.5,43,tight,0.0,0.0,7.771929824561403,7.771929824561403
20,5,0.5,44,loose,0.3621305148041975,0.24465885528332848,1.0,1.0
20,5,0.5,44,tight,0.0,0.0,9.2,9.2
20,5,1.0,42,loose,0.22827157715999166,0.12162730973900732,1.0,1.0
20,5,1.0,42,tight,0.0,2.844944302178978e-18,13.333333333333334,13.333333333333334
20,5,1.0,43,loose,0.278066072318276,0.14437862015969596,1.0,1.0
20,5,1.0,43,tight,0.0,0.0,15.821428571428571,15.821428571428571
20,5,1.0,44,loose,0.2951552467335221,0.11804682011664293,1.0,1.0
20,5,1.0,44,tight,0.0,0.0,1.4153846153846155,1.4153846153846155
20,5,2.0,42,loose,0.1801968464349213,0.03962807822151631,1.0,1.0
20,5,2.0,42,tight,0.0,0.0,14.545454545454545,14.545454545454545
20,5,2.0,43,loose,0.2312674453629448,0.048111048469454146,1.0,1.0
20,5,2.0,43,tight,0.0,2.649084336819688e-19,21.095238095238095,21.095238095238095
20,5,2.0,44,loose,0.2639908731909457,0.057350759805925175,1.0,1.0
20,5,2.0,44,tight,0.0,0.0,17.523809523809526,17.523809523809526
25,2,0.0,42,loose,0.5470319438251782,0.5728390905592381,1.0,1.0
25,2,0.0,42,tight,0.0,1.3554016508079835e-17,2.3703703703703702,2.3703703703703702
25,2,0.0,43,loose,0.5195536679455682,0.5145328103474919,1.0,1.0
25,2,0.0,43,tight,0.0,0.0,2.3461538461538463,2.3461538461538463
25,2,0.0,44,loose,0.5558122999876686,0.5631038193791548,1.0,1.0
25,2,0.0,44,tight,0.0,0.0,2.576923076923077,2.576923076923077
25,2,0.5,42,loose,0.3854615585665169,0.40502657406452364,1.0,1.0
25,2,0.5,42,tight,0.0,1.0363942527351286e-17,2.4615384615384617,2.4615384615384617
25,2,0.5,43,loose,0.36660061558780993,0.34918663898469227,1.0,1.0
25,2,0.5,43,tight,0.0,0.0,1.90625,1.90625
25,2,0.5,44,loose,0.39123296748984493,0.37615063183978203,1.0,1.0
25,2,0.5,44,tight,0.0,0.0,2.576923076923077,2.576923076923077
25,2,1.0,42,loose,0.2647830344515756,0.26757927799928183,1.0,1.0
25,2,1.0,42,tight,0.0,7.129051107235997e-18,2.3703703703703702,2.3703703703703702
25,2,1.0,43,loose,0.25766225941828114,0.22327437641239956,1.0,1.0
25,2,1.0,43,tight,0.0,0.0,1.2708333333333333,1.2708333333333333
25,2,1.0,44,loose,0.2682822623079561,0.2310221266742914,1.0,1.0
25,2,1.0,44,tight,0.0,1.7407722739408007e-18,2.310344827586207,2.310344827586207
25,2,2.0,42,loose,0.13910795868069406,0.1070369840864339,1.0,1.0
25,2,2.0,42,tight,0.0,0.0,2.2857142857142856,2.2857142857142856
25,2,2.0,43,loose,0.14855957028949446,0.0871072424568697,1.0,1.0
25,2,2.0,43,tight,1.290634266161617e-16,5.914295845857787e-17,1.525,1.525
25,2,2.0,44,loose,0.14188447169086274,0.08214557711383301,1.0,1.0
25,2,2.0,44,tight,0.0,0.0,2.576923076923077,2.576923076923077
25,3,0.0,42,loose,0.5470319438251782,0.5748282431487529,1.0,1.0
25,3,0.0,42,tight,0.0,1.2036546963403403e-18,4.592592592592593,4.592592592592593
25,3,0.0,43,loose,0.5195536679455682,0.5214422377873896,1.0,1.0
25,3,0.0,43,tight,0.0,0.0,4.576923076923077,4.576923076923077
25,3,0.0,44,loose,0.5558122999876687,0.5571604505925013,1.0,1.0
25,3,0.0,44,tight,0.0,0.0,4.137931034482759,4.137931034482759
25,3,0.5,42,loose,0.3626458235121484,0.3600862469900642,1.0,1.0
25,3,0.5,42,tight,0.0,0.0,4.592592592592593,4.592592592592593
25,3,0.5,43,loose,0.3406278677032741,0.30260632562597883,1.0,1.0
25,3,0.5,43,tight,0.0,0.0,1.2795698924731183,1.2795698924731183
25,3,0.5,44,loose,0.3601642419339034,0.3254385397116574,1.0,1.0
25,3,0.5,44,tight,0.0,0.0,4.444444444444445,4.444444444444445
25,3,1.0,42,loose,0.24372116518972814,0.2071847167311866,1.0,1.0
25,3,1.0,42,tight,0.0,0.0,3.5428571428571427,3.5428571428571427
25,3,1.0,43,loose,0.23522142517144498,0.15920644537692347,1.0,1.0
25,3,1.0,43,tight,0.0,3.6733910094807135e-18,4.576923076923077,4.576923076923077
25,3,1.0,44,loose,0.23438515496883489,0.17182541565336118,1.0,1.0
25,3,1.0,44,tight,0.0,0.0,4.444444444444445,4.444444444444445
25,3,2.0,42,loose,0.14094427941233817,0.06900790482147649,1.0,1.0
25,3,2.0,42,tight,0.0,1.018502524860125e-18,4.769230769230769,4.769230769230769
25,3,2.0,43,loose,0.15643401475409138,0.04712212515273614,1.0,1.0
25,3,2.0,43,tight,0.0,9.545830618565106e-19,4.25,4.25
25,3,2.0,44,loose,0.13228030253202597,0.051279416752892895,1.0,1.0
25,3,2.0,44,tight,0.0,0.0,4.615384615384615,4.615384615384615
25,5,0.0,42,loose,0.5470319438251782,0.5678401705040881,1.0,1.0
25,5,0.0,42,tight,0.0,2.906827918522669e-19,13.8,13.8
25,5,0.0,43,loose,0.5195536679455681,0.5108639502829231,1.0,1.0
25,5,0.0,43,tight,0.0,3.013042357166339e-19,16.185185185185187,16.185185185185187
25,5,0.0,44,loose,0.5558122999876686,0.5617729229875308,1.0,1.0
25,5,0.0,44,tight,0.0,0.0,12.705882352941176,12.705882352941176
25,5,0.5,42,loose,0.30509674536059234,0.27032744208368004,1.0,1.0
25,5,0.5,42,tight,0.0,6.400994286451668e-19,15.923076923076923,15.923076923076923
25,5,0.5,43,loose,0.32392836626242477,0.24159665098042699,1.0,1.0
25,5,0.5,43,tight,0.0,2.650988041928161e-19,16.807692307692307,16.807692307692307
25,5,0.5,44,loose,0.3520825396432245,0.2647445428435127,1.0,1.0
25,5,0.5,44,tight,0.0,7.586598353806911e-19,16.0,16.0
25,5,1.0,42,loose,0.1993945757448434,0.10818715349281412,1.0,1.0
25,5,1.0,42,tight,0.0,2.706183763540101e-19,13.8,13.8
25,5,1.0,43,loose,0.24184944438385605,0.10919780903483851,1.0,1.0
25,5,1.0,43,tight,0.0,0.0,12.13888888888889,12.13888888888889
25,5,1.0,44,loose,0.265727461550197,0.11224736988680538,1.0,1.0
25,5,1.0,44,tight,0.0,3.3764989678572144e-19,16.615384615384617,16.615384615384617
25,5,2.0,42,loose,0.1510168872860711,0.025853246388085793,1.0,1.0
25,5,2.0,42,tight,0.0,7.540512232729805e-19,14.785714285714286,14.785714285714286
25,5,2.0,43,loose,0.19726642409179038,0.03750864261464954,1.0,1.0
25,5,2.0,43,tight,0.0,1.1996456208472369e-18,16.807692307692307,16.807692307692307
25,5,2.0,44,loose,0.22388658450186252,0.036647481765352784,1.0,1.0
25,5,2.0,44,tight,0.0,2.7002836831866333e-19,16.615384615384617,16.615384615384617
